Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38819122,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,"=""""","=""""",3,4.21,Orbit,Kindle Edition,678,2010,2010,2017/06/09,2017/04/30,"read-fantasy, year-2017","read-fantasy (#122), year-2017 (#10)",read,,,,1,,,0,,,,,
36687102,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.61,Mariner Books,Kindle Edition,290,2012,1962,2017/04/25,2017/04/25,"read-science-fiction, year-2017","read-science-fiction (#22), year-2017 (#5)",read,,,,1,,,0,,,,,
20441724,Dune,Frank Herbert,"Herbert, Frank",,"=""""","=""""",4,4.23,Ace,Kindle Edition,894,2003,1965,2017/04/03,2017/04/03,"read-fantasy, year-2017","read-fantasy (#121), year-2017 (#4)",read,,,,1,,,0,,,,,
6251563,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",5,4.26,William Morrow,Kindle Edition,276,2009,1939,2016/09/05,2016/09/05,"read-classics, year-2016","read-classics (#22), year-2016 (#13)",read,,,,1,,,0,,,,,
25402243,"Calamity (The Reckoners, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.19,Delacorte Press,Kindle Edition,448,2016,2016,2016/07/29,2016/07/24,"year-2016, read-fantasy","year-2016 (#11), read-fantasy (#118)",read,,,,1,,,0,,,,,
5494321,Mindset: The New Psychology Of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""""","=""""",4,4.05,Random House,Kindle Edition,288,2006,2006,2016/06/15,2015/06/28,"year-2016, read-culture-nf","year-2016 (#8), read-culture-nf (#33)",read,,,,1,,,0,,,,,
17160066,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",3,3.99,Vintage,Kindle Edition,146,2012,1942,2016/05/29,2016/05/24,"read-classics, year-2016","read-classics (#21), year-2016 (#7)",read,,,,1,,,0,,,,,
9447906,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""""","=""""",4,4.05,Broadway Books,Kindle Edition,305,2010,1998,2016/05/23,2016/05/22,"year-2016, read-culture-nf","year-2016 (#6), read-culture-nf (#32)",read,,,,1,,,0,,,,,
28220825,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378566""","=""9780765378569""",4,4.27,Tor Fantasy,Mass Market Paperback,445,2016,2015,2017/09/27,2017/09/13,"read-fantasy, year-2017","read-fantasy (#125), year-2017 (#16)",read,,,,1,,,0,,,,,
23704892,Saga: Capítulo 4 (Saga #4),Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""8468478903""","=""9788468478906""",4,4.43,Planeta DeAgostini Comics,Hardcover,152,2014,2014,2016/10/27,2016/12/27,"read-comics, year-2016","read-comics (#25), year-2016 (#17)",read,,,,1,,,0,,,,,
22105929,"Saga, Vol. 3 (Saga, #3)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""060635879X""","=""9780606358798""",4,4.50,Turtleback Books,Hardcover,144,2014,2014,2016/10/10,2016/12/27,"read-comics, year-2016","read-comics (#24), year-2016 (#16)",read,,,,1,,,0,,,,,
20605345,"Saga, Vol. 2 (Saga, #2)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""0606351795""","=""9780606351799""",4,4.51,Turtleback Books,Hardcover,144,2013,2013,2016/09/15,2016/12/27,"read-comics, year-2016","read-comics (#23), year-2016 (#15)",read,,,,1,,,0,,,,,
11256625,The Elements Of Scrum,Chris Sims,"Sims, Chris",Hillary Louise Johnson,"=""""","=""""",4,3.98,,Kindle Edition,184,,2011,2018/01/12,2017/12/30,"read-culture-nf, year-2018","read-culture-nf (#40), year-2018 (#2)",read,,,,1,,,0,,,,,
17278262,"The Crown Tower (The Riyria Chronicles, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""""","=""""",4,4.33,Orbit,Kindle Edition,422,2013,2013,2018/01/16,2018/01/13,"read-fantasy, year-2018","read-fantasy (#127), year-2018 (#3)",read,,,,1,,,0,,,,,
25947237,Originals: How Nonconformists Move the World,Adam M. Grant,"Grant, Adam M.",Sheryl Sandberg,"=""""","=""""",4,3.95,Viking,Kindle Edition,335,2016,2016,2018/02/25,2018/02/16,"read-culture-nf, year-2018","read-culture-nf (#42), year-2018 (#5)",read,,,,1,,,0,,,,,
6567830,"Equal Rites (Discworld, #3)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.01,HarperCollins e-books,Kindle Edition,265,2009,1987,2018/03/10,2018/03/04,"read-fantasy, year-2018","read-fantasy (#128), year-2018 (#6)",read,,,,1,,,0,,,,,
9118033,ReWork,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""""","=""""",4,3.96,Vermilion,Kindle Edition,288,2010,2010,2018/07/04,2018/06/24,"read-culture-nf, year-2018","read-culture-nf (#43), year-2018 (#11)",read,,,,1,,,0,,,,,
18733806,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""""","=""""",5,4.12,Transworld Digital,Kindle Edition,384,2013,2013,2018/07/27,2018/07/15,"read-culture-nf, year-2018","read-culture-nf (#44), year-2018 (#13)",read,,,,1,,,0,,,,,
11295656,"Reaper Man (Discworld, #11)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.25,Transworld Digital,Kindle Edition,305,2010,1991,2018/08/05,2018/07/30,"read-fantasy, year-2018","read-fantasy (#133), year-2018 (#14)",read,,,,1,,,0,,,,,
6506766,"Lord Edgware Dies (Hercule Poirot, #9)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,3.93,Harper Collins,Kindle Edition,352,2001,1933,2019/05/04,2019/05/01,"read-classics, year-2019","read-classics (#29), year-2019 (#11)",read,,,,1,,,0,,,,,
31698361,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""""","=""""",5,4.30,Orbit,Kindle Edition,464,2017,2017,2019/05/16,2017/07/07,"read-fantasy, year-2019","read-fantasy (#141), year-2019 (#12)",read,,,,1,,,0,,,,,
40873920,The Lost City of the Monkey God,Douglas Preston,"Preston, Douglas",,"=""""","=""""",4,3.91,Grand Central Publishing,Kindle Edition,326,2017,2017,2019/07/14,2018/05/01,"read-culture-nf, year-2019","read-culture-nf (#51), year-2019 (#18)",read,,,,1,,,0,,,,,
13336409,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",,"=""""","=""""",4,3.99,Disney Hyperion,Kindle Edition,476,2011,2003,2013/03/29,2015/06/11,year-2013,year-2013 (#35),read,,,,1,,,0,,,,,
